code,level1,level2,type,category,name
0100000000,0100000000,0100000000,О,,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ
0110000000,0100000000,0110000000,,,МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ
0110100000,0100000000,0110100000,НП,,СІМФЕРОПОЛЬ
0110130000,0100000000,0110100000,,,РАЙОНИ М.СІМФЕРОПОЛЯ
0110136300,0100000000,0110100000,,Р,ЗАЛІЗНИЧНИЙ
0110136600,0100000000,0110100000,,Р,КИЇВСЬКИЙ
0110136900,0100000000,0110100000,,Р,ЦЕНТРАЛЬНИЙ
0110165000,0100000000,0110100000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0110165300,0100000000,0110100000,НП,Т,АЕРОФЛОТСЬКИЙ
0110165600,0100000000,0110100000,НП,Т,ГРЕСІВСЬКИЙ
0110165601,0100000000,0110100000,НП,Щ,БІТУМНЕ
0110165800,0100000000,0110100000,НП,Т,КОМСОМОЛЬСЬКЕ
0110166000,0100000000,0110100000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0110166200,0100000000,0110100000,НП,Т,АГРАРНЕ
0110300000,0100000000,0110300000,НП,М,АЛУШТА
0110345000,0100000000,0110300000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0110345400,0100000000,0110300000,НП,Т,ПАРТЕНІТ
0110390000,0100000000,0110300000,,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0110390900,0100000000,0110300000,,,ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ
0110390901,0100000000,0110300000,НП,С,ІЗОБІЛЬНЕ
0110390903,0100000000,0110300000,НП,С,ВЕРХНЯ КУТУЗОВКА
0110390905,0100000000,0110300000,НП,С,НИЖНЯ КУТУЗОВКА
0110390907,0100000000,0110300000,НП,Щ,РОЗОВИЙ
0110391400,0100000000,0110300000,,,ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ
0110391401,0100000000,0110300000,НП,С,ЛУЧИСТЕ
0110391403,0100000000,0110300000,НП,Щ,ЛАВАНДА
0110391405,0100000000,0110300000,НП,Щ,СЕМИДВІР'Я
0110391800,0100000000,0110300000,,,МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК
0110391801,0100000000,0110300000,НП,С,МАЛИЙ МАЯК
0110391802,0100000000,0110300000,НП,Щ,БОНДАРЕНКОВЕ
0110391803,0100000000,0110300000,НП,С,ВИНОГРАДНИЙ
0110391805,0100000000,0110300000,НП,С,ЗАПРУДНЕ
0110391807,0100000000,0110300000,НП,С,КИПАРИСНЕ
0110391809,0100000000,0110300000,НП,С,ЛАВРОВЕ
0110391811,0100000000,0110300000,НП,С,ЛАЗУРНЕ
0110391813,0100000000,0110300000,НП,С,НИЖНЄ ЗАПРУДНЕ
0110391815,0100000000,0110300000,НП,С,ПУШКІНЕ
0110391817,0100000000,0110300000,НП,Щ,УТЬОС
0110391818,0100000000,0110300000,НП,Щ,ЧАЙКА
0110392100,0100000000,0110300000,,,МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ
0110392101,0100000000,0110300000,НП,С,МАЛОРІЧЕНСЬКЕ
0110392103,0100000000,0110300000,НП,С,ГЕНЕРАЛЬСЬКЕ
0110392105,0100000000,0110300000,НП,С,РИБАЧЕ
0110392107,0100000000,0110300000,НП,С,СОНЯЧНОГІРСЬКЕ
0110393000,0100000000,0110300000,,,ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ
0110393001,0100000000,0110300000,НП,С,ПРИВІТНЕ
0110393002,0100000000,0110300000,НП,С,ЗЕЛЕНОГІР'Я
0110600000,0100000000,0110600000,НП,М,ДЖАНКОЙ
0110900000,0100000000,0110900000,НП,М,ЄВПАТОРІЯ
